fullName;abbreviation;parentSemType;
Amino Acid, Peptide, or Protein;aapp;orch;
Acquired Abnormality;acab;anab;
Activity;acty;evnt;
Age Group;aggp;grup;
Alga ;alga;;
Amino Acid Sequence;amas;mosq;
Amphibian;amph;vtbt;
Anatomical Abnormality;anab;anst;
Animal;anim;orgm;eukaryote
Anatomical Structure;anst;phob;
Antibiotic;antb;phsu;
Archaeon;arch;orgm;
Biologically Active Substance;bacs;chvf;
Bacterium;bact;orgm;
Body Substance;bdsu;sbst;
Body System;bdsy ;ftcn;
Behavior;bhvr;acty;
Biologic Function;biof;npop;
Bird;bird;vtbt;
Body Location or Region;blor;spco;
Biomedical Occupation or Discipline;bmod ;ocdi;
Biomedical or Dental Material;bodm;chvf;
Body Part, Organ, or Organ Component;bpoc;ffas;
Body Space or Junction;bsoj;spco;
Carbonhydrate;carb;mosq;
Cell Component;celc;ffas;
Cell Function;celf;phsf;
Cell;cell;ffas;
Congenital Abonormality;cgab;anab;
Chemical;chem;sbst;
Chemical Viewed Functionally;chvf;chem;
Chemical Viewed Structurally;chvs;chem;
Classification;clas;inpr;
Clinical Attribute;clna;orga;
Clinical Drug;clnd ;mnob;
Conceptual Entity;cnce;enty;
Cell or Molecular Dysfunction;comd;patf;
Carbohydrate Sequence;crbs;mosq;
Diagnostic Procedure;diap;hlca;
Daily or Recreational Activity;dora;acty;
Drug Delivery Device;drdd;medd;
Disease or Syndrome;dsyn;patf;
Educational Activity;edac;ocac;
Environmental Effect of Humans;eehu;hcpp;
Eicosanoid;eico;;
Element, Ion, or Isotope;elii;chvs;
Experimental Model of Disease;emod;patf;
Embryonic Structure;emst;anst;
Entity;enty;none;
Enzyme;enzy;bacs;
Event;evnt;none;
Family Group;famg;grup;
Fully Formed Anatomical Structure;ffas;anst;
Fish;fish;vtbt;
Finding;fndg;cnce;
Fungus;fngs;orgm;eukaryote
Food;food;sbst;
Functional Concept;ftcn;idcn;
Genetic Function;genf;moft;
Geographic Area;geoa ;spco;
Gene or Genome;gngm;ffas;
Governmental or Regulatory Activity;gora;ocac;
Group Attribute;grpa;cnce;
Group;grup;cnce;
Human-caused Phenomenon or Process;hcpp;phpr;
Health Care Related Organization;hcro;orgt;
Health Care Activity;hlca;ocac;
Hazardous or Poisonous Substance;hops;chvf;
Hormone;horm;bacs;
Human;humn;mamm;
Idea or Concept;idcn;cnce;
Immunologic Factor;imft;bacs;
Individual Behavior;inbe;bhvr;
Inorganic Chemical;inch;chvs;
Injury or Poisoning;inpo;phpr;
Intellectual Product;inpr;cnce;
;invt;;
Indicator, Reagent, or Diagnostic Aid;irda;chvf;
Language;lang;cnce;
Laboratory Procedure;lbpr;hlca;
Laboratory or Test Result;lbtr;fndg;
Lipid;lipd;;
Mammal;mamm;vtbt;
Molecular Biology Research Technique;mbrt;resa;
Machine Activity;mcha;acty;
Medical Device;medd;mnob;
Mental Process;menp;orgf;
Manufactured Object;mnob ;phob;
Mental or Behavioral Dysfunction;mobd;dsyn;
Molecular Function;moft;phsf;
Molecular Sequence;mosq;spco;
Neoplastic Process;neop;dsyn;
Nucleic Acid, Nucleoside, or Nucleotide;nnon;orch;
Natural Phenomenon or Process;npop;phpr;
Neuroreactive Substance or Biogenic Amine;nsba;;
Nucleotide Sequence;nusq;mosq;
Occupational Activity;ocac;acty;
Occupation or Discipline;ocdi;cnce;
Organophosphorus Compound;opco;;
Organic Chemical;orch;chvs;
Organism Attribute;orga;cnce;
Organism Function;orgf;phsf;
Organism;orgm;phob;
Organization;orgt;cnce;
Organ or Tissue Function;ortf;phsf;
Pathologic Function;patf;biof;
Physical Object;phob;enty;
Phenomenon or Process;phpr;evnt;
Physiologic Function;phsf;biof;
Pharmacologic Substance;phsu;chvf;
Plant;plnt;orgm;eukaryote
Patient or Disabled Group;podg;grup;
Population Group;popg;grup;
Professional or Occupational Group;prog;grup;
Professional Society;pros;orgt;
Qualitative Concept;qlco;idcn;
Quantitative Concept;qnco;idcn;
Receptor;rcpt;bacs;
Reptile;rept;vtbt;
Research Activity;resa;ocac;
Research Device;resd;mnob;
Rickettsia or Chlamydia;rich;;
Regulation or Law;rnlw;inpr;
Substance;sbst;phob;
Self-help or Relief Organization;shro;orgt;
Social Behavior;socb;bhvr;
Sign or Symptom;sosy;fndg;
Spatial Concept;spco;idcn;
Steroid;strd;;
Tissue;tisu;ffas;
Temporal Concept;tmco;idcn;
Therapeutic or Preventive Procedure;topp;hlca;
Virus;virs;orgm;
Vitamin;vita;bacs;
Vertebrate;vtbt;anim;
;;;
;;;
;;;
;;;
missing;;;
Eukaryote;;orgm;
entity;;none;
